Llegada=248, Procesamiento=316
Llegada=81831, Procesamiento=766
Llegada=81838, Procesamiento=469
Llegada=81859, Procesamiento=563
Llegada=82287, Procesamiento=494
Llegada=82298, Procesamiento=455
Llegada=82451, Procesamiento=983
Llegada=82472, Procesamiento=505
Llegada=82539, Procesamiento=369
Llegada=82598, Procesamiento=971
Llegada=82726, Procesamiento=205
Llegada=82765, Procesamiento=545
Llegada=82834, Procesamiento=515
Llegada=83005, Procesamiento=445
Llegada=83060, Procesamiento=642
Llegada=83099, Procesamiento=133
Llegada=83132, Procesamiento=429
Llegada=83360, Procesamiento=710
Llegada=83443, Procesamiento=820
Llegada=83508, Procesamiento=538
Llegada=83547, Procesamiento=944
Llegada=83588, Procesamiento=552
Llegada=83632, Procesamiento=774
Llegada=83666, Procesamiento=361
Llegada=83821, Procesamiento=593
Llegada=83915, Procesamiento=861
Llegada=84224, Procesamiento=583
Llegada=84226, Procesamiento=518
Llegada=84304, Procesamiento=382
Llegada=84320, Procesamiento=507
Llegada=84342, Procesamiento=374
Llegada=84427, Procesamiento=702
Llegada=84483, Procesamiento=632
Llegada=84803, Procesamiento=124
Llegada=84804, Procesamiento=999
Llegada=84980, Procesamiento=267
Llegada=85019, Procesamiento=817
Llegada=85098, Procesamiento=385
Llegada=85161, Procesamiento=10
Llegada=85344, Procesamiento=901
Llegada=85400, Procesamiento=898
Llegada=85467, Procesamiento=75
Llegada=85608, Procesamiento=349
Llegada=85623, Procesamiento=637
Llegada=85706, Procesamiento=762
Llegada=85774, Procesamiento=411
Llegada=85851, Procesamiento=193
Llegada=85851, Procesamiento=966
Llegada=85953, Procesamiento=33
Llegada=86154, Procesamiento=920
Llegada=86241, Procesamiento=611
Llegada=86496, Procesamiento=965
Llegada=86624, Procesamiento=194
Llegada=86769, Procesamiento=884
Llegada=86800, Procesamiento=750
Llegada=86947, Procesamiento=583
Llegada=86949, Procesamiento=252
Llegada=86963, Procesamiento=890
Llegada=87571, Procesamiento=103
Llegada=87699, Procesamiento=283
Llegada=87702, Procesamiento=738
Llegada=87899, Procesamiento=764
Llegada=87966, Procesamiento=22
Llegada=88048, Procesamiento=653
Llegada=88160, Procesamiento=925
Llegada=88224, Procesamiento=657
Llegada=88288, Procesamiento=621
Llegada=88356, Procesamiento=167
Llegada=88421, Procesamiento=549
Llegada=88496, Procesamiento=985
Llegada=88520, Procesamiento=710
Llegada=88570, Procesamiento=352
Llegada=88581, Procesamiento=928
Llegada=88630, Procesamiento=279
Llegada=89238, Procesamiento=804
Llegada=89265, Procesamiento=309
Llegada=89281, Procesamiento=423
Llegada=89424, Procesamiento=508
Llegada=89437, Procesamiento=483
Llegada=89545, Procesamiento=153
Llegada=89712, Procesamiento=362
Llegada=89857, Procesamiento=979
Llegada=89915, Procesamiento=604
Llegada=90283, Procesamiento=158
Llegada=90380, Procesamiento=756
Llegada=90387, Procesamiento=133
Llegada=90557, Procesamiento=21
Llegada=90942, Procesamiento=17
Llegada=91367, Procesamiento=498
Llegada=91595, Procesamiento=740
Llegada=91657, Procesamiento=117
Llegada=91707, Procesamiento=244
Llegada=91744, Procesamiento=291
Llegada=91748, Procesamiento=37
Llegada=91827, Procesamiento=19
Llegada=91850, Procesamiento=829
Llegada=91952, Procesamiento=588
Llegada=92002, Procesamiento=445
Llegada=92142, Procesamiento=220
Llegada=92204, Procesamiento=71
Llegada=92232, Procesamiento=154
Llegada=92493, Procesamiento=570
Llegada=92547, Procesamiento=726
Llegada=92565, Procesamiento=424
Llegada=92624, Procesamiento=118
Llegada=92629, Procesamiento=953
Llegada=92656, Procesamiento=84
Llegada=92671, Procesamiento=847
Llegada=92923, Procesamiento=344
Llegada=93157, Procesamiento=362
Llegada=93167, Procesamiento=77
Llegada=93195, Procesamiento=27
Llegada=93215, Procesamiento=555
Llegada=93290, Procesamiento=588
Llegada=93304, Procesamiento=3
Llegada=93467, Procesamiento=517
Llegada=93548, Procesamiento=979
Llegada=93573, Procesamiento=501
Llegada=93655, Procesamiento=702
Llegada=93875, Procesamiento=845
Llegada=93981, Procesamiento=269
Llegada=94026, Procesamiento=529
Llegada=94037, Procesamiento=846
Llegada=94088, Procesamiento=499
Llegada=94102, Procesamiento=799
Llegada=94267, Procesamiento=653
Llegada=94349, Procesamiento=961
Llegada=94366, Procesamiento=846
Llegada=94424, Procesamiento=83
Llegada=94483, Procesamiento=495
Llegada=94569, Procesamiento=131
Llegada=94733, Procesamiento=827
Llegada=94886, Procesamiento=518
Llegada=94969, Procesamiento=330
Llegada=94977, Procesamiento=996
Llegada=95090, Procesamiento=465
Llegada=95144, Procesamiento=765
Llegada=95211, Procesamiento=921
Llegada=95524, Procesamiento=464
Llegada=95625, Procesamiento=343
Llegada=95693, Procesamiento=848
Llegada=95783, Procesamiento=814
Llegada=95882, Procesamiento=330
Llegada=95911, Procesamiento=198
Llegada=96059, Procesamiento=77
Llegada=96163, Procesamiento=927
Llegada=96284, Procesamiento=52
Llegada=96347, Procesamiento=523
Llegada=96369, Procesamiento=247
Llegada=96422, Procesamiento=161
Llegada=96481, Procesamiento=276
Llegada=96659, Procesamiento=847
Llegada=96825, Procesamiento=951
Llegada=96892, Procesamiento=208
Llegada=97424, Procesamiento=546
Llegada=97489, Procesamiento=983
Llegada=97660, Procesamiento=473
Llegada=97718, Procesamiento=455
Llegada=98054, Procesamiento=254
Llegada=98114, Procesamiento=866
Llegada=98122, Procesamiento=434
Llegada=98358, Procesamiento=518
Llegada=98359, Procesamiento=795
Llegada=98438, Procesamiento=394
Llegada=98486, Procesamiento=178
Llegada=98515, Procesamiento=357
Llegada=98612, Procesamiento=585
Llegada=98738, Procesamiento=886
Llegada=98935, Procesamiento=605
Llegada=99044, Procesamiento=245
Llegada=99116, Procesamiento=12
Llegada=99196, Procesamiento=315
Llegada=99271, Procesamiento=541
Llegada=99319, Procesamiento=483
Llegada=99353, Procesamiento=423
Llegada=99558, Procesamiento=9
Llegada=99720, Procesamiento=487
Llegada=99787, Procesamiento=974
